,publication_date,total_print_books
0,0,108149
1,1996,19545
2,1997,19295
3,1995,19057
4,1998,18922
5,2000,18654
6,1994,18220
7,1999,18025
8,1987,17824
9,1993,17813
10,1988,17690
11,1989,17441
12,1990,17172
13,1992,17093
14,1986,17061
15,1991,16751
16,1985,16350
17,1984,15589
18,2001,15554
19,2002,15521
20,1983,15287
21,2003,14703
22,1982,14621
23,2004,14593
24,1980,14413
25,1979,14178
26,1981,14170
27,1972,14161
28,1978,14092
29,2005,14081
30,1970,13876
31,1971,13491
32,1973,13485
33,1977,13399
34,1976,13275
35,2006,13089
36,1975,13010
37,1968,12990
38,1969,12927
39,2007,12800
40,1974,12796
41,1967,12073
42,1966,11580
43,2008,11091
44,1965,10712
45,2009,10163
46,1964,9937
47,1963,9234
48,2010,8969
49,1962,8588
50,1960,8061
51,1961,7724
52,2011,7344
53,1959,6425
54,1958,6289
55,1957,6148
56,1956,5675
57,Unknown,5636
58,1955,5488
59,1954,5164
60,2012,5027
61,1953,4947
62,1952,4719
63,1950,4428
64,1951,4289
65,1949,4136
66,1948,4089
67,1947,3631
68,1800,3510
69,1946,3264
70,1900,3176
71,1930,3061
72,1928,2773
73,1936,2691
74,1929,2679
75,1931,2657
76,1927,2656
77,1938,2653
78,1932,2630
79,1937,2550
80,1933,2537
81,1935,2536
82,1939,2523
83,1934,2486
84,1945,2477
85,1925,2474
86,1926,2417
87,1924,2282
88,1940,2236
89,1923,2229
90,1944,2083
91,1920,2020
92,1910,1982
93,1943,1978
94,1922,1977
95,1942,1955
96,1912,1924
97,1921,1869
98,1890,1839
99,1941,1827
100,1909,1820
101,1911,1788
102,1913,1785
103,1908,1708
104,1907,1610
105,1914,1593
106,1904,1578
107,1893,1572
108,1899,1548
109,1906,1546
110,1892,1544
111,1897,1521
112,1905,1515
113,1860,1494
114,1898,1471
115,1880,1457
116,1895,1443
117,1870,1425
118,1896,1415
119,1901,1412
120,1891,1409
121,1889,1404
122,1867,1388
123,1894,1382
124,1868,1382
125,1919,1377
126,1875,1348
127,1903,1337
128,1888,1332
129,1902,1328
130,1853,1320
131,1850,1313
132,1887,1311
133,1869,1290
134,1876,1284
135,1874,1278
136,1915,1270
137,1859,1258
138,1858,1258
139,1877,1245
140,1866,1245
141,1916,1243
142,1872,1240
143,1871,1231
144,1865,1228
145,2013,1226
146,1873,1215
147,1857,1208
148,1854,1207
149,1886,1198
150,1884,1190
151,1885,1185
152,1855,1159
153,1861,1151
154,1840,1146
155,1883,1139
156,1918,1130
157,1917,1130
158,1856,1114
159,1862,1109
160,1864,1096
161,1863,1094
162,1851,1090
163,1878,1085
164,1852,1068
165,1881,1063
166,1882,1053
167,1879,1047
168,1843,1041
169,1845,1025
170,1830,976
171,1842,966
172,1841,958
173,1839,935
174,1835,918
175,1847,894
176,1846,892
177,1836,891
178,1838,872
179,1844,865
180,1837,842
181,1849,840
182,1848,788
183,1834,770
184,1832,751
185,1833,748
186,1831,726
187,1828,718
188,1826,700
189,1825,700
190,1827,696
191,1820,689
192,1829,671
193,1824,667
194,1823,660
195,1822,604
196,1818,583
197,1821,573
198,1819,522
199,1817,444
200,1815,443
201,1816,422
202,1810,344
203,1812,328
204,1813,325
205,1814,321
206,1807,312
207,1808,300
208,1811,295
209,1806,285
210,1805,277
211,1809,262
212,1801,242
213,1804,239
214,1803,224
215,1790,214
216,1802,205
217,1791,196
218,1709,191
219,1796,178
220,1795,176
221,1793,176
222,1798,176
223,1688,171
224,1788,169
225,1797,165
226,1799,164
227,1773,163
228,1707,155
229,1689,151
230,1687,147
231,1700,145
232,1792,144
233,1774,142
234,1704,141
235,1701,140
236,1772,139
237,1794,139
238,1708,138
239,1776,137
240,1777,137
241,1702,136
242,1769,136
243,1705,136
244,1787,133
245,1717,133
246,1767,132
247,1706,131
248,1710,131
249,1778,130
250,1775,129
251,1771,127
252,1768,127
253,1789,125
254,1643,124
255,1770,122
256,1646,122
257,1779,120
258,1648,119
259,1644,118
260,1782,115
261,1642,114
262,1641,113
263,1719,112
264,1783,111
265,1784,110
266,6880,109
267,1645,109
268,1766,108
269,1718,107
270,1780,107
271,1786,107
272,1733,106
273,1720,106
274,1742,105
275,1762,104
276,1703,104
277,1785,103
278,1730,103
279,1754,102
280,1714,101
281,1647,100
282,1756,100
283,1690,99
284,1757,99
285,1751,98
286,1740,98
287,1691,98
288,1745,97
289,1749,97
290,1737,96
291,1764,96
292,2014,93
293,1743,93
294,1760,93
295,1755,92
296,1750,92
297,1758,92
298,1781,91
299,1732,91
300,1761,89
301,1711,88
302,1753,87
303,1712,86
304,1686,86
305,1747,86
306,1713,84
307,1680,83
308,1683,83
309,1731,82
310,1763,82
311,1765,82
312,1694,81
313,1759,81
314,1727,80
315,1729,80
316,1649,80
317,1748,80
318,1752,80
319,1681,79
320,1721,79
321,1699,78
322,1695,77
323,1715,76
324,2015,75
325,1716,75
326,1722,75
327,1738,74
328,1739,74
329,1744,73
330,1728,73
331,1696,73
332,1734,72
333,1725,72
334,1685,72
335,1693,71
336,1692,71
337,1337,69
338,1723,67
339,1736,67
340,1726,67
341,1698,66
342,1335,64
343,1679,63
344,1746,63
345,1724,63
346,1684,62
347,1660,62
348,1661,61
349,1735,60
350,1659,59
351,1682,59
352,1333,58
353,1656,57
354,1334,57
355,1650,56
356,1674,56
357,1697,54
358,1339,54
359,1741,53
360,1610,53
361,1675,53
362,1657,53
363,1338,52
364,1336,52
365,1658,52
366,1670,50
367,1653,49
368,1672,49
369,1651,48
370,1676,47
371,1654,46
372,1655,44
373,1652,44
374,1340,43
375,1662,43
376,1671,43
377,1678,43
378,1609,40
379,1387,38
380,1669,38
381,1640,37
382,1331,35
383,1673,34
384,1626,33
385,1384,33
386,1332,33
387,1677,33
388,1664,32
389,1426,30
390,1668,30
391,1607,29
392,1637,29
393,1611,28
394,1330,28
395,1383,28
396,1612,27
397,1613,27
398,1628,27
399,1379,26
400,1380,26
401,1350,25
402,1638,25
403,1634,25
404,1608,24
405,1619,24
406,1667,24
407,1616,24
408,1636,24
409,1357,24
410,1663,24
411,1373,23
412,1606,23
413,1605,23
414,1600,23
415,1344,23
416,1352,22
417,1348,22
418,1377,22
419,1665,22
420,1617,22
421,1666,22
422,1635,22
423,1639,22
424,1369,21
425,1620,21
426,1631,21
427,1385,21
428,1629,21
429,1381,21
430,1614,21
431,1615,21
432,1621,21
433,1624,20
434,1625,20
435,1411,20
436,1347,20
437,1630,19
438,1386,19
439,1633,19
440,1343,18
441,2016,18
442,1618,18
443,1378,18
444,1622,18
445,1428,18
446,1524,17
447,1429,17
448,1382,17
449,1424,17
450,1602,16
451,1329,16
452,1632,16
453,1603,16
454,1590,16
455,1345,16
456,1351,15
457,1346,15
458,1594,15
459,2017,15
460,1601,14
461,1328,14
462,1372,14
463,1342,14
464,1327,14
465,1604,14
466,1599,14
467,1550,14
468,1349,14
469,1627,13
470,1580,13
471,1341,13
472,1326,13
473,1320,13
474,1388,12
475,1427,12
476,1425,12
477,1413,12
478,1523,12
479,1376,12
480,1367,12
481,2018,12
482,1595,12
483,1588,12
484,1623,12
485,1368,12
486,1522,11
487,1581,11
488,1421,11
489,1417,11
490,1414,11
491,1597,10
492,1423,10
493,1422,10
494,1420,10
495,1419,10
496,1353,10
497,1553,10
498,1396,10
499,1358,10
500,1395,9
501,1598,9
502,1573,9
503,1319,9
504,1374,9
505,1355,9
506,1400,9
507,1546,9
508,1401,8
509,1398,8
510,1321,8
511,1317,8
512,1324,8
513,1366,8
514,1431,8
515,1592,8
516,1371,7
517,1363,7
518,1562,7
519,1576,7
520,1430,7
521,1582,7
522,1557,7
523,1554,7
524,1389,7
525,1406,7
526,1392,7
527,1538,7
528,1394,7
529,1397,7
530,1543,7
531,1412,7
532,1521,7
533,1404,7
534,1364,7
535,1551,6
536,1416,6
537,1415,6
538,1561,6
539,1566,6
540,1568,6
541,1520,6
542,1405,6
543,1356,6
544,1354,6
545,1583,6
546,1585,6
547,1316,6
548,1593,6
549,1596,6
550,1325,5
551,100,5
552,1302,5
553,1304,5
554,1403,5
555,1314,5
556,1399,5
557,1318,5
558,1362,5
559,1574,5
560,1391,5
561,1586,5
562,1559,5
563,1560,5
564,1577,5
565,1564,5
566,1375,5
567,1591,5
568,1525,5
569,1432,5
570,1540,5
571,1408,4
572,1313,4
573,1365,4
574,1563,4
575,1528,4
576,1530,4
577,1579,4
578,1584,4
579,1587,4
580,1407,4
581,1370,4
582,1515,4
583,1315,4
584,1323,4
585,1312,4
586,1548,4
587,1410,4
588,1544,4
589,1542,4
590,1549,4
591,1307,4
592,1311,4
593,1589,3
594,1310,3
595,1308,3
596,3200,3
597,1519,3
598,1578,3
599,2100,3
600,2200,3
601,1500,3
602,1575,3
603,1526,3
604,1287,3
605,1572,3
606,1361,3
607,1537,3
608,1433,3
609,1402,3
610,1539,3
611,1393,3
612,1556,3
613,1533,3
614,1558,3
615,1529,3
616,1555,3
617,1567,3
618,2900,2
619,1571,2
620,1527,2
621,1409,2
622,1569,2
623,1242,2
624,1286,2
625,1299,2
626,1512,2
627,1536,2
628,1284,2
629,1359,2
630,2800,2
631,1535,2
632,2300,2
633,3201,2
634,1511,2
635,1290,2
636,1541,2
637,1493,2
638,1300,2
639,1291,2
640,1565,2
641,1303,2
642,1570,2
643,1322,2
644,1504,2
645,1306,2
646,1506,2
647,1547,2
648,1309,2
649,1289,1
650,1293,1
651,1288,1
652,1283,1
653,1278,1
654,1076,1
655,1270,1
656,1265,1
657,1074,1
658,1083,1
659,1096,1
660,1100,1
661,1072,1
662,1120,1
663,1134,1
664,1070,1
665,1174,1
666,1057,1
667,1183,1
668,1192,1
669,1193,1
670,1200,1
671,1220,1
672,1229,1
673,1295,1
674,1245,1
675,1252,1
676,1260,1
677,1264,1
678,1262,1
679,1480,1
680,1298,1
681,1501,1
682,9161,1
683,6106,1
684,1513,1
685,1508,1
686,1507,1
687,1505,1
688,1532,1
689,1498,1
690,1301,1
691,1495,1
692,1360,1
693,1434,1
694,1490,1
695,1487,1
696,1485,1
697,1450,1
698,9186,1
699,9470,1
700,9580,1
701,9700,1
702,3900,1
703,1305,1
704,1545,1
705,1418,1
706,1518,1
707,1517,1
708,9999,1
709,3195,1
710,1390,1
711,3198,1
712,1514,1
713,2102,1
714,1552,1
715,2019,1
716,1534,1
717,9650,1
